hexagram_id,position,text
35,六三,眾允，悔亡。
35,九四,晉如鼫鼠，貞厲。
35,六五,悔亡，失得勿恤，往吉，無不利。
35,上九,晉其角，維用伐邑，厲吉，無咎，貞吝。
36,初九,明夷于飛，垂其翼；君子于行，三日不食。有攸往，主人有言。
36,六二,明夷，夷于左股，用拯馬壯，吉。
36,九三,明夷于南狩，得其大首，不可疾貞。
36,六四,入于左腹，獲明夷之心，于出門庭。
36,六五,箕子之明夷，利貞。
36,上六,不明晦，初登于天，後入于地。
37,初九,閑有家，悔亡。
37,六二,無攸遂，在中饋，貞吉。
37,九三,家人嗃嗃，悔厲吉；婦子嘻嘻，終吝。
37,六四,富家，大吉。
37,九五,王假有家，勿恤，吉。
37,上九,有孚，威如，終吉。
38,初九,悔亡；喪馬，勿逐自復；見惡人，無咎。
38,九二,遇主于巷，無咎。
38,六三,見輿曳，其牛掣，其人天且劓，無初有終。
38,九四,睽狐，遇元夫，交孚，厲無咎。
38,六五,悔亡，厥宗噬膚，往何咎？
38,上九,睽孤，見豕負塗，載鬼一車，先張之弧，後說之弧。匪寇，婚媾，往遇雨則吉。
39,初六,往蹇，來譽。
39,六二,王臣蹇蹇，匪躬之故。
39,九三,往蹇，來反。
39,六四,往蹇，來連。
39,九五,大蹇，朋來。
39,上六,往蹇，來碩，吉，利見大人。
40,初六,無咎。
40,九二,田獲三狐，得黃矢，貞吉。
40,六三,負且乘，致寇至，貞吝。
40,九四,解而拇，朋至斯孚。
40,六五,君子維有解，吉，有孚于小人。
40,上六,公用射隼于高墉之上，獲之，無不利。
41,初九,已事遄往，無咎，酌損之。
41,九二,利貞，征凶，弗損益之。
41,六三,三人行，則損一人；一人行，則得其友。
41,六四,損其疾，使遄有喜，無咎。
41,六五,或益之朋之龜，弗克違，元吉。
41,上九,弗損益之，無咎，貞吉，利有攸往，得臣無家。
42,初九,利用為大作，元吉，無咎。
42,六二,或益之朋之龜，弗克違，永貞吉。王用享于帝，吉。
42,六三,益之用凶事，無咎。有孚中行，告公用圭。
42,六四,中行告公從，利用為依遷國。
42,九五,有孚惠心，勿問元吉，有孚惠我德。
42,上九,莫益之，或擊之。立心勿恆，凶。
43,初九,壯于前趾，往不勝為咎。
43,九二,惕號，莫夜有戎，勿恤。
43,九三,壯于頄，有凶。君子夬夬，獨行遇雨，若濡有慍，無咎。
43,九四,臀無膚，其行次且。牽羊悔亡，聞言不信。
43,九五,莧陸夬夬，中行無咎。
43,上六,無號，終有凶。
44,初六,繫于金柅，貞吉，有攸往，見凶，羸豕孚，蹢躅。
44,九二,包有魚，無咎，不利賓。
44,九三,臀無膚，其行次且，厲，無大咎。
44,九四,包無魚，起凶。
44,九五,以杞包瓜，含章，有隕自天。
44,上九,姤其角，吝，無咎。
45,初六,有孚不終，乃亂乃萃，若號，一握為笑，勿恤，往無咎。
45,六二,引吉，無咎，孚乃利用禴。
45,六三,萃如嗟如，無攸利，往無咎，小吝。
45,九四,大吉，無咎。
45,九五,萃有位，無咎。匪孚，元永貞，悔亡。
45,上六,齎咨涕洟，無咎。
46,初六,允升，大吉。
46,九二,孚乃利用禴，無咎。
46,九三,升虛邑。
46,六四,王用亨于岐山，吉，無咎。
46,六五,貞吉，升階。
46,上六,冥升，利于不息之貞。
47,初六,臀困于株木，入于幽谷，三歲不覿。
47,九二,困于酒食，朱紱方來，利用享祀，征凶，無咎。
47,六三,困于石，據于蒺藜，入于其宮，不見其妻，凶。
47,九四,來徐徐，困于金車，吝，有終。
47,九五,劓刖，困于赤紱，乃徐有說，利用祭祀。
47,上六,困于葛藟，于臲卼，曰動悔有悔，征吉。
48,初六,井泥不食，舊井無禽。
48,九二,井谷射鮒，甕敝漏。
48,九三,井渫不食，為我心惻，可用汲，王明，並受其福。
48,六四,井甃，無咎。
48,九五,井洌，寒泉食。
48,上六,井收，勿幕，有孚，元吉。
49,初九,鞏用黃牛之革。
49,六二,巳日乃革之，征吉，無咎。
49,九三,征凶，貞厲，革言三就，有孚。
49,九四,悔亡，有孚改命，吉。
49,九五,大人虎變，未占有孚。
49,上六,君子豹變，小人革面，征凶，居貞吉。
50,初六,鼎顛趾，利出否，得妾以其子，無咎。
50,九二,鼎有實，我仇有疾，不我能即，吉。
50,九三,鼎耳革，其行塞，雉膏不食。方雨虧悔，終吉。
50,九四,鼎折足，覆公餗，其形渥，凶。
50,六五,鼎黃耳金鉉，利貞。
50,上九,鼎玉鉉，大吉，無不利。
51,初九,震來虩虩，後笑言啞啞，吉。
51,六二,震來厲，億喪貝，躋于九陵，勿逐，七日得。
51,六三,震蘇蘇，震行無眚。
51,九四,震遂泥。
51,六五,震往來厲，億無喪，有事。
51,上六,震索索，視矍矍，征凶。震不于其躬，于其鄰，無咎。婚媾有言。
52,初六,艮其趾無咎，利永貞。
52,六二,艮其腓，不拯其隨，其心不快。
52,九三,艮其限，列其夤，厲薰心。
52,六四,艮其身，無咎。
52,六五,艮其輔，言有序，悔亡。
52,上九,敦艮，吉。
53,初六,鴻漸于干，小子厲，有言，無咎。
53,六二,鴻漸于磐，飲食衎衎，吉。
53,九三,鴻漸于陸，夫征不復，婦孕不育，凶。利禦寇。
53,六四,鴻漸于木，或得其桷，無咎。
53,九五,鴻漸于陵，婦三歲不孕，終莫之勝，吉。
53,上九,鴻漸于陸，其羽可用為儀，吉。
54,初九,歸妹以娣，跛能履，征吉。
54,九二,眇能視，利幽人之貞。
54,六三,歸妹以須，反歸以娣。
54,九四,歸妹愆期，遲歸有時。
54,六五,帝乙歸妹，其君之袂，不如其娣之袂良；月幾望，吉。
54,上六,女承筐，無實；士刲羊，無血。無攸利。
55,初九,遇其配主，雖旬無咎，往有尚。
55,六二,豐其蔀，日中見斗，往得疑疾；有孚發若，吉。
55,九三,豐其沛，日中見沫，折其右肱，無咎。
55,九四,豐其蔀，日中見斗；遇其夷主，吉。
55,六五,來章，有慶譽，吉。
55,上六,豐其屋，蔀其家，闚其戶，闃其無人，三歲不覿，凶。
56,初六,旅瑣瑣，斯其所取災。
56,六二,旅即次，懷其資，得童僕，貞。
56,九三,旅焚其次，喪其童僕，貞厲。
56,九四,旅于處，得其資斧，我心不快。
56,六五,射雉，一矢亡，終以譽命。
56,上九,鳥焚其巢，旅人先笑後號咷，喪牛于易，凶。
57,初六,進退，利武人之貞。
57,九二,巽在床下，用史巫紛若，吉，無咎。
57,九三,頻巽，吝。
57,六四,悔亡，田獲三品。
57,九五,貞吉，悔亡，無不利。無初有終，先庚三日，後庚三日，吉。
57,上九,巽在床下，喪其資斧，貞凶。
58,初九,和兌，吉。
58,九二,孚兌，吉，悔亡。
58,六三,來兌，凶。
58,九四,商兌未寧，介疾有喜。
58,九五,孚于剝，有厲。
58,上六,引兌。
59,初六,用拯馬壯，吉。
59,九二,渙奔其机，悔亡。
59,六三,渙其躬，無悔。
59,六四,渙其群，元吉。渙有丘，匪夷所思。
59,九五,渙汗其大號，渙王居，無咎。
59,上九,渙其血去逖出，無咎。
60,初九,不出戶庭，無咎。
60,九二,不出門庭，凶。
60,六三,不節若，則嗟若，無咎。
60,六四,安節，亨。
60,九五,甘節，吉，往有尚。
60,上六,苦節，貞凶，悔亡。
61,初九,虞吉，有它不燕。
61,九二,鳴鶴在陰，其子和之；我有好爵，吾與爾靡之。
61,六三,得敵，或鼓或罷，或泣或歌。
61,六四,月幾望，馬匹亡，無咎。
61,九五,有孚攣如，無咎。
61,上九,翰音登于天，貞凶。
62,初六,飛鳥以凶。
62,六二,過其祖，遇其妣，不及其君，遇其臣，無咎。
62,九三,弗過防之，從或戕之，凶。
62,九四,無咎，弗過遇之，往厲必戒，勿用，永貞。
62,六五,密雲不雨，自我西郊；公弋取彼在穴。
62,上六,弗遇過之，飛鳥離之，凶，是謂災眚。
63,初九,曳其輪，濡其尾，無咎。
63,六二,婦喪其茀，勿逐，七日得。
63,九三,高宗伐鬼方，三年克之，小人勿用。
63,六四,繻有衣袽，終日戒。
63,九五,東鄰殺牛，不如西鄰之禴祭，實受其福。
63,上六,濡其首，厲。
64,初六,濡其尾，吝。
64,九二,曳其輪，貞吉。
64,六三,未濟，征凶，利涉大川。
64,九四,貞吉，悔亡，震用伐鬼方，三年有賞于大國。
64,六五,貞吉，無悔，君子之光，有孚，吉。
64,上九,有孚于飲酒，無咎；濡其首，有孚失是。
